client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations
f1039_40,1,,330,train,26414840,26414840,3828874350
f3519_18,1,,144,train,26414840,26414840,1584361800
f1252_21,1,,206,train,26414840,26414840,2376542700
f1090_13,1,,230,train,26414840,26414840,2640603000
f2471_82,1,,163,train,26414840,26414840,1848422100
f2454_73,1,,177,train,26414840,26414840,1980452250
f0085_01,1,,370,train,26414840,26414840,4356994950
f3693_03,1,,163,train,26414840,26414840,1848422100
f2217_71,1,,181,train,26414840,26414840,2112482400
f1867_44,1,,111,train,26414840,26414840,1188271350
f3290_01,1,,182,train,26414840,26414840,2112482400
f3408_47,1,,173,train,26414840,26414840,1980452250
f0071_21,1,,301,train,26414840,26414840,3564814050
f1926_49,1,,154,train,26414840,26414840,1716391950
f3868_35,1,,173,train,26414840,26414840,1980452250
f1633_35,1,,173,train,26414840,26414840,1980452250
f0678_26,1,,306,train,26414840,26414840,3564814050
f0358_32,1,,357,train,26414840,26414840,4224964800
f1221_17,1,,138,train,26414840,26414840,1584361800
f1024_46,1,,365,train,26414840,26414840,4224964800
f1296_02,1,,228,train,26414840,26414840,2640603000
f0719_05,1,,283,train,26414840,26414840,3300753750
f0070_14,1,,396,train,26414840,26414840,4621055250
f2102_52,1,,165,train,26414840,26414840,1848422100
f1218_35,1,,273,train,26414840,26414840,3168723600
f2340_80,1,,179,train,26414840,26414840,2112482400
f2550_79,1,,163,train,26414840,26414840,1848422100
f1775_42,1,,177,train,26414840,26414840,1980452250
f2350_98,1,,168,train,26414840,26414840,1980452250
f3786_04,1,,171,train,26414840,26414840,1980452250
f0566_02,1,,298,train,26414840,26414840,3432783900
f1121_47,1,,238,train,26414840,26414840,2772633150
f3105_03,1,,165,train,26414840,26414840,1848422100
f0899_05,1,,317,train,26414840,26414840,3696844200
f0092_16,1,,383,train,26414840,26414840,4489025100
f3698_01,2,,166,train,26414840,26414840,1848422100
f2437_50,2,,166,train,26414840,26414840,1848422100
f0380_37,2,,345,train,26414840,26414840,4092934650
f1336_30,2,,262,train,26414840,26414840,3036693450
f1031_37,2,,365,train,26414840,26414840,4224964800
f3221_05,2,,169,train,26414840,26414840,1980452250
f2350_98,2,,168,train,26414840,26414840,1980452250
